X,Y,OBJECTID,Date,SUM_number_of_confirmed_covid_1,SUM_no_new_admissions_covid19_p,SUM_no_discharges_covid19_posit
,,1,2020/03/07 00:00:00+00,18,,
,,2,2020/03/08 00:00:00+00,17,,
,,3,2020/03/09 00:00:00+00,18,,
,,4,2020/03/10 00:00:00+00,26,,
,,5,2020/03/11 00:00:00+00,32,,
,,6,2020/03/12 00:00:00+00,44,,
,,7,2020/03/13 00:00:00+00,36,,
,,8,2020/03/14 00:00:00+00,38,,
,,9,2020/03/15 00:00:00+00,41,,
,,10,2020/03/16 00:00:00+00,55,,
,,11,2020/03/17 00:00:00+00,61,,
,,12,2020/03/18 00:00:00+00,80,,
,,13,2020/03/19 00:00:00+00,98,,
,,14,2020/03/20 00:00:00+00,133,,
,,15,2020/03/21 00:00:00+00,151,,
,,16,2020/03/22 00:00:00+00,177,,
,,17,2020/03/23 00:00:00+00,218,,
,,18,2020/03/24 00:00:00+00,239,,
,,19,2020/03/25 00:00:00+00,290,,
,,20,2020/03/26 00:00:00+00,331,,
,,21,2020/03/27 00:00:00+00,380,,
,,22,2020/03/28 00:00:00+00,442,,
,,23,2020/03/29 00:00:00+00,513,,
,,24,2020/03/30 00:00:00+00,571,,
,,25,2020/03/31 00:00:00+00,596,,
,,26,2020/04/01 00:00:00+00,656,,
,,27,2020/04/02 00:00:00+00,655,0,0
,,28,2020/04/03 00:00:00+00,704,56,47
,,29,2020/04/04 00:00:00+00,738,54,34
,,30,2020/04/05 00:00:00+00,702,56,33
,,31,2020/04/06 00:00:00+00,829,32,30
,,32,2020/04/07 00:00:00+00,828,51,75
,,33,2020/04/08 00:00:00+00,837,37,48
,,34,2020/04/09 00:00:00+00,838,57,66
,,35,2020/04/10 00:00:00+00,825,29,61
,,36,2020/04/11 00:00:00+00,856,49,45
,,37,2020/04/12 00:00:00+00,853,26,35
,,38,2020/04/13 00:00:00+00,868,32,24
,,39,2020/04/14 00:00:00+00,868,30,25
,,40,2020/04/15 00:00:00+00,881,35,53
,,41,2020/04/16 00:00:00+00,856,23,78
,,42,2020/04/17 00:00:00+00,852,47,59
,,43,2020/04/18 00:00:00+00,811,28,62
,,44,2020/04/19 00:00:00+00,816,27,29
,,45,2020/04/20 00:00:00+00,820,24,18
,,46,2020/04/21 00:00:00+00,774,21,56
,,47,2020/04/22 00:00:00+00,778,20,64
,,48,2020/04/23 00:00:00+00,742,33,49
,,49,2020/04/24 00:00:00+00,745,39,42
,,50,2020/04/25 00:00:00+00,736,33,56
,,51,2020/04/26 00:00:00+00,758,22,18
,,52,2020/04/27 00:00:00+00,771,16,19
,,53,2020/04/28 00:00:00+00,753,30,47
,,54,2020/04/29 00:00:00+00,760,46,44
,,55,2020/04/30 00:00:00+00,736,19,36
,,56,2020/05/01 00:00:00+00,740,47,59
,,57,2020/05/02 00:00:00+00,705,37,45
,,58,2020/05/03 00:00:00+00,684,13,14
,,59,2020/05/04 00:00:00+00,672,11,10
,,60,2020/05/05 00:00:00+00,680,9,11
,,61,2020/05/06 00:00:00+00,657,25,57
-6.29199999999997,-6.29199999999997,62,2020/05/07 00:00:00+00,614,15,40
,,63,2020/05/08 00:00:00+00,585,29,48
,,64,2020/05/09 00:00:00+00,539,15,61
,,65,2020/05/10 00:00:00+00,539,20,21
,,66,2020/05/11 00:00:00+00,555,12,19
-6.29199999999997,-6.29199999999997,67,2020/05/12 00:00:00+00,512,5,37
-6.29199999999997,-6.29199999999997,68,2020/05/13 00:00:00+00,486,14,36
-6.29199999999997,-6.29199999999997,69,2020/05/14 00:00:00+00,459,9,36
-6.29199999999997,-6.29199999999997,70,2020/05/15 00:00:00+00,419,8,36
-6.29199999999997,-6.29199999999997,71,2020/05/16 00:00:00+00,386,9,35
-6.29199999999997,-6.29199999999997,72,2020/05/17 00:00:00+00,395,14,11
-6.29199999999997,-6.29199999999997,73,2020/05/18 00:00:00+00,386,7,7
-6.29199999999997,-6.29199999999997,74,2020/05/19 00:00:00+00,368,10,28
-6.29199999999997,-6.29199999999997,75,2020/05/20 00:00:00+00,367,16,23
-6.29199999999997,-6.29199999999997,76,2020/05/21 00:00:00+00,315,15,36
-6.29199999999997,-6.29199999999997,77,2020/05/22 00:00:00+00,316,11,19
-6.29199999999997,-6.29199999999997,78,2020/05/23 00:00:00+00,303,7,25
-6.29199999999997,-6.29199999999997,79,2020/05/24 00:00:00+00,304,8,11
-6.29199999999997,-6.29199999999997,80,2020/05/25 00:00:00+00,305,5,12
-6.29199999999997,-6.29199999999997,81,2020/05/26 00:00:00+00,287,7,20
-6.29199999999997,-6.29199999999997,82,2020/05/27 00:00:00+00,263,16,26
-6.29199999999997,-6.29199999999997,83,2020/05/28 00:00:00+00,231,4,25
-6.29199999999997,-6.29199999999997,84,2020/05/29 00:00:00+00,197,10,20
-6.29199999999997,-6.29199999999997,85,2020/05/30 00:00:00+00,173,6,11
-6.29199999999997,-6.29199999999997,86,2020/05/31 00:00:00+00,184,5,5
-6.29199999999997,-6.29199999999997,87,2020/06/01 00:00:00+00,176,5,7
-6.29199999999997,-6.29199999999997,88,2020/06/02 00:00:00+00,194,3,2
-6.29199999999997,-6.29199999999997,89,2020/06/03 00:00:00+00,166,3,27
-6.29199999999997,-6.29199999999997,90,2020/06/04 00:00:00+00,154,5,9
-6.29199999999997,-6.29199999999997,91,2020/06/05 00:00:00+00,139,4,12
-6.29199999999997,-6.29199999999997,92,2020/06/06 00:00:00+00,122,4,12
-6.29199999999997,-6.29199999999997,93,2020/06/07 00:00:00+00,125,3,2
-6.29199999999997,-6.29199999999997,94,2020/06/08 00:00:00+00,122,6,2
-6.29199999999997,-6.29199999999997,95,2020/06/09 00:00:00+00,110,3,3
-6.29199999999997,-6.29199999999997,96,2020/06/10 00:00:00+00,102,4,13
-6.29199999999997,-6.29199999999997,97,2020/06/11 00:00:00+00,89,9,3
-6.29199999999997,-6.29199999999997,98,2020/06/12 00:00:00+00,79,3,1
-6.29199999999997,-6.29199999999997,99,2020/06/13 00:00:00+00,76,4,3
-6.29199999999997,-6.29199999999997,100,2020/06/14 00:00:00+00,81,1,1
-6.29199999999997,-6.29199999999997,101,2020/06/15 00:00:00+00,78,1,2
-6.29199999999997,-6.29199999999997,102,2020/06/16 00:00:00+00,69,7,2
-6.29199999999997,-6.29199999999997,103,2020/06/17 00:00:00+00,60,2,3
-6.29199999999997,-6.29199999999997,104,2020/06/18 00:00:00+00,48,3,5
-6.29199999999997,-6.29199999999997,105,2020/06/19 00:00:00+00,44,1,0
-6.29199999999997,-6.29199999999997,106,2020/06/20 00:00:00+00,41,3,3
-6.29199999999997,-6.29199999999997,107,2020/06/21 00:00:00+00,41,2,0
-6.29199999999997,-6.29199999999997,108,2020/06/22 00:00:00+00,43,2,1
-6.29199999999997,-6.29199999999997,109,2020/06/23 00:00:00+00,40,2,6
-6.29199999999997,-6.29199999999997,110,2020/06/24 00:00:00+00,37,0,3
-6.29199999999997,-6.29199999999997,111,2020/06/25 00:00:00+00,30,0,3
-6.29199999999997,-6.29199999999997,112,2020/06/26 00:00:00+00,26,2,1
-6.29199999999997,-6.29199999999997,113,2020/06/27 00:00:00+00,22,0,4
-6.29199999999997,-6.29199999999997,114,2020/06/28 00:00:00+00,20,2,0
-6.29199999999997,-6.29199999999997,115,2020/06/29 00:00:00+00,22,1,0
-6.29199999999997,-6.29199999999997,116,2020/06/30 00:00:00+00,21,0,2
-6.29199999999997,-6.29199999999997,117,2020/07/01 00:00:00+00,21,1,1
-6.29199999999997,-6.29199999999997,118,2020/07/02 00:00:00+00,18,0,1
-6.29199999999997,-6.29199999999997,119,2020/07/03 00:00:00+00,20,2,0
-6.29199999999997,-6.29199999999997,120,2020/07/04 00:00:00+00,22,3,1
-6.29199999999997,-6.29199999999997,121,2020/07/05 00:00:00+00,20,1,2
-6.29199999999997,-6.29199999999997,122,2020/07/06 00:00:00+00,19,0,0
-6.29199999999997,-6.29199999999997,123,2020/07/07 00:00:00+00,20,1,5
-6.29199999999997,-6.29199999999997,124,2020/07/08 00:00:00+00,12,0,3
-6.29199999999997,-6.29199999999997,125,2020/07/09 00:00:00+00,13,1,1
-6.29199999999997,-6.29199999999997,126,2020/07/10 00:00:00+00,11,0,1
-6.29199999999997,-6.29199999999997,127,2020/07/11 00:00:00+00,13,2,0
-6.29199999999997,-6.29199999999997,128,2020/07/12 00:00:00+00,12,0,0
-6.29199999999997,-6.29199999999997,129,2020/07/13 00:00:00+00,11,2,0
-6.29199999999997,-6.29199999999997,130,2020/07/14 00:00:00+00,13,2,1
-6.292,53.3605,131,2020/07/15 11:00:00+00,12,1,0
-6.292,53.3605,132,2020/07/16 11:00:00+00,12,0,0
-6.292,53.3605,133,2020/07/17 11:00:00+00,12,2,1
-6.292,53.3605,134,2020/07/18 11:00:00+00,10,1,2
-6.292,53.3605,135,2020/07/19 11:00:00+00,10,1,0
-6.292,53.3605,136,2020/07/20 11:00:00+00,12,1,0
-6.292,53.3605,137,2020/07/21 11:00:00+00,13,2,1
-6.292,53.3605,138,2020/07/22 11:00:00+00,14,3,0
-6.292,53.3605,139,2020/07/23 11:00:00+00,13,1,0
-6.292,53.3605,140,2020/07/24 11:00:00+00,11,1,0
-6.292,53.3605,141,2020/07/25 11:00:00+00,10,0,2
-6.292,53.3605,142,2020/07/26 11:00:00+00,11,3,0
-6.292,53.3605,143,2020/07/27 11:00:00+00,11,1,0
-6.292,53.3605,144,2020/07/28 11:00:00+00,10,1,3
-6.292,53.3605,145,2020/07/29 11:00:00+00,10,1,1
-6.292,53.3605,146,2020/07/30 11:00:00+00,6,0,4
-6.292,53.3605,147,2020/07/31 11:00:00+00,6,1,1
-6.292,53.3605,148,2020/08/01 11:00:00+00,8,1,1
-6.292,53.3605,149,2020/08/02 11:00:00+00,10,1,0
-6.292,53.3605,150,2020/08/03 11:00:00+00,10,0,0
-6.292,53.3605,151,2020/08/04 11:00:00+00,14,2,0
-6.292,53.3605,152,2020/08/05 11:00:00+00,17,3,0
-6.292,53.3605,153,2020/08/06 11:00:00+00,10,0,5
-6.292,53.3605,154,2020/08/07 11:00:00+00,11,0,1
-6.292,53.3605,155,2020/08/08 11:00:00+00,12,3,1
-6.292,53.3605,156,2020/08/09 11:00:00+00,13,0,1
-6.292,53.3605,157,2020/08/10 11:00:00+00,12,0,0
-6.292,53.3605,158,2020/08/11 11:00:00+00,14,1,0
-6.292,53.3605,159,2020/08/12 11:00:00+00,13,3,1
-6.292,53.3605,160,2020/08/13 11:00:00+00,12,1,1
-6.292,53.3605,161,2020/08/14 11:00:00+00,11,3,2
-6.292,53.3605,162,2020/08/15 11:00:00+00,15,4,0
-6.292,53.3605,163,2020/08/16 11:00:00+00,16,2,0
-6.292,53.3605,164,2020/08/17 11:00:00+00,21,4,0
-6.292,53.3605,165,2020/08/18 11:00:00+00,22,1,3
-6.292,53.3605,166,2020/08/19 11:00:00+00,17,2,3
-6.292,53.3605,167,2020/08/20 11:00:00+00,16,3,4
-6.292,53.3605,168,2020/08/21 11:00:00+00,18,2,1
-6.292,53.3605,169,2020/08/22 11:00:00+00,20,5,1
-6.292,53.3605,170,2020/08/23 11:00:00+00,21,0,0
-6.292,53.3605,171,2020/08/24 11:00:00+00,27,1,0
-6.292,53.3605,172,2020/08/25 11:00:00+00,26,4,3
-6.292,53.3605,173,2020/08/26 11:00:00+00,26,2,6
-6.292,53.3605,174,2020/08/27 11:00:00+00,29,4,0
-6.292,53.3605,175,2020/08/28 11:00:00+00,32,4,2
-6.292,53.3605,176,2020/08/29 11:00:00+00,30,4,5
-6.292,53.3605,177,2020/08/30 11:00:00+00,33,3,1
-6.292,53.3605,178,2020/08/31 11:00:00+00,35,2,3
-6.292,53.3605,179,2020/09/01 11:00:00+00,36,1,6
-6.292,53.3605,180,2020/09/02 11:00:00+00,40,2,2
-6.292,53.3605,181,2020/09/03 11:00:00+00,40,1,2
-6.292,53.3605,182,2020/09/04 11:00:00+00,44,4,2
-6.292,53.3605,183,2020/09/05 11:00:00+00,48,4,1
-6.292,53.3605,184,2020/09/06 11:00:00+00,49,6,3
-6.292,53.3605,185,2020/09/07 11:00:00+00,49,4,2
-6.292,53.3605,186,2020/09/08 11:00:00+00,49,2,2
-6.292,53.3605,187,2020/09/09 11:00:00+00,50,3,3
-6.292,53.3605,188,2020/09/10 11:00:00+00,49,1,4
-6.292,53.3605,189,2020/09/11 11:00:00+00,53,5,4
-6.292,53.3605,190,2020/09/12 11:00:00+00,52,5,4
-6.292,53.3605,191,2020/09/13 11:00:00+00,54,4,1
-6.292,53.3605,192,2020/09/14 11:00:00+00,60,5,2
-6.292,53.3605,193,2020/09/15 11:00:00+00,68,12,7
