SourceFileName,FromDate,ToDate,PreparedDate,TotalConfirmedCasesAbs,TotalConfirmedCasesPcnt,SexMaleFemaleRatio,SexMaleAbs,SexMalePcnt,SexFemaleAbs,SexFemalePcnt,SexUnknownAbs,SexUnknownPcnt,AgeMedian,AgeMean,Age0To4Abs,Age0To4Pcnt,Age5To12Abs,Age5To12Pcnt,Age13To18Abs,Age13To18Pcnt,Age19To24Abs,Age19To24Pcnt,Age25To34Abs,Age25To34Pcnt,Age35To44Abs,Age35To44Pcnt,Age45To54Abs,Age45To54Pcnt,Age55To64Abs,Age55To64Pcnt,Age65To74Abs,Age65To74Pcnt,Age75To84Abs,Age75To84Pcnt,Age85PlusAbs,Age85PlusPcnt,AgeUnknownAbs,AgeUnknownPcnt,CHO1Abs,CHO1Rate,CHO2Abs,CHO2Rate,CHO3Abs,CHO3Rate,CHO4Abs,CHO4Rate,CHO5Abs,CHO5Rate,CHO6Abs,CHO6Rate,CHO7Abs,CHO7Rate,CHO8Abs,CHO8Rate,CHO9Abs,CHO9Rate,CarlowAbs,CarlowRate,CavanAbs,CavanRate,ClareAbs,ClareRate,CorkAbs,CorkRate,DonegalAbs,DonegalRate,DublinAbs,DublinRate,GalwayAbs,GalwayRate,KerryAbs,KerryRate,KildareAbs,KildareRate,KilkennyAbs,KilkennyRate,LaoisAbs,LaoisRate,LeitrimAbs,LeitrimRate,LimerickAbs,LimerickRate,LongfordAbs,LongfordRate,LouthAbs,LouthRate,MayoAbs,MayoRate,MeathAbs,MeathRate,MonaghanAbs,MonaghanRate,OffalyAbs,OffalyRate,RoscommonAbs,RoscommonRate,SligoAbs,SligoRate,TipperaryAbs,TipperaryRate,WaterfordAbs,WaterfordRate,WestmeathAbs,WestmeathRate,WexfordAbs,WexfordRate,WicklowAbs,WicklowRate,DublinNorthAbs,DublinNorthRate,DublinNorthCentralAbs,DublinNorthCentralRate,DublinNorthWestAbs,DublinNorthWestRate,DublinSouthAbs,DublinSouthRate,DublinSouthCityAbs,DublinSouthCityRate,DublinSouthEastAbs,DublinSouthEastRate,DublinSouthWestAbs,DublinSouthWestRate,DublinWestAbs,DublinWestRate,Cases0To4,CasesHospitalised0To4,CasesHospitalisedPcnt0To4,CasesAdmittedToIcu0To4,Cases13To18,CasesHospitalised13To18,CasesHospitalisedPcnt13To18,CasesAdmittedToIcu13To18,Cases13To24,CasesHospitalised13To24,CasesHospitalisedPcnt13To24,CasesAdmittedToIcu13To24,Cases15To24,CasesHospitalised15To24,CasesHospitalisedPcnt15To24,CasesAdmittedToIcu15To24,Cases19To24,CasesHospitalised19To24,CasesHospitalisedPcnt19To24,CasesAdmittedToIcu19To24,Cases25To34,CasesHospitalised25To34,CasesHospitalisedPcnt25To34,CasesAdmittedToIcu25To34,Cases35To44,CasesHospitalised35To44,CasesHospitalisedPcnt35To44,CasesAdmittedToIcu35To44,Cases45To54,CasesHospitalised45To54,CasesHospitalisedPcnt45To54,CasesAdmittedToIcu45To54,Cases55To64,CasesHospitalised55To64,CasesHospitalisedPcnt55To64,CasesAdmittedToIcu55To64,Cases5To12,CasesHospitalised5To12,CasesHospitalisedPcnt5To12,CasesAdmittedToIcu5To12,Cases5To14,CasesHospitalised5To14,CasesHospitalisedPcnt5To14,CasesAdmittedToIcu5To14,Cases65To74,CasesHospitalised65To74,CasesHospitalisedPcnt65To74,CasesAdmittedToIcu65To74,Cases65To84,CasesHospitalised65To84,CasesHospitalisedPcnt65To84,CasesAdmittedToIcu65To84,Cases75To84,CasesHospitalised75To84,CasesHospitalisedPcnt75To84,CasesAdmittedToIcu75To84,Cases85Plus,CasesHospitalised85Plus,CasesHospitalisedPcnt85Plus,CasesAdmittedToIcu85Plus,CasesUnknown,CasesHospitalisedUnknown,CasesHospitalisedPcntUnknown,CasesAdmittedToIcuUnknown,ImportedCasesAbs,ImportedCasesPcnt,TravelRelatedCasesAbs,TravelRelatedCasesPcnt
COVID-19_14_day_epidemiology_report_04092020_Website v3.pdf,21/08/2020,03/09/2020,04/09/2020,1558,100,1.07,805,51.67,751,48.2,2,0.13,32,35,55,3.53,0,0,0,0,0,0,297,19.06,232,14.89,212,13.61,129,8.28,51,3.27,51,3.27,25,1.6,3,0.19,69,17.6,25,5.5,152,39.5,55,8.0,210,41.1,144,37.6,452,63.9,150,24.2,301,48.4,36,63.233330991358111431181060000,12,15.752993068683049779458100000,36,30.298694631239637425620910000,40,7.3682736871578357906526100000,29,18.216995828936127443590130000,700,52.029058972708528752001260000,10,3.8750978462206170705810300000,15,10.155239765210856628324990000,169,75.953690720166828461510800000,27,27.208964850048371493066750000,23,27.155625346824562853465880000,0,0,103,52.847885314958003889193890000,12,29.359234702615418491424660000,23,17.845504484652866143198540000,0,0,39,19.995488197534915198621850000,25,40.725898413318997817091850000,28,35.915393594233013942868870000,13,20.141298958849776896380760000,0,0,100,62.675098556592480241675180000,29,24.962126428866547307533400000,12,13.518080432578573842514360000,44,29.387798720294946634429140000,28,19.659469896436721081270840000,103,39.7,89,57.6,109,52.5,55,40.4,81,54.0,63,50.9,86,53.5,114,73.4,55,2,3.9,0,,,,,,,,,366,7,13.7,0,,,,,297,6,11.8,0,232,1,2.0,0,212,6,11.8,1,129,5,9.8,1,,,,,137,2,3.9,0,51,5,9.8,0,,,,,51,10,19.6,0,25,7,13.7,0,3,0,0.00,0,37,2.37,114,7.32
COVID-19_14_day_epidemiology_report_v0.1_05.09.2020_website v3.pdf,22/08/2020,04/09/2020,05/09/2020,1639,100,1.07,844,51.49,791,48.26,4,0.24,32,35,51,3.11,0,0,0,0,0,0,312,19.04,250,15.25,220,13.42,134,8.18,60,3.66,53,3.23,28,1.71,4,0.24,82,21.0,31,6.8,151,39.2,60,8.7,189,37.0,160,41.8,475,67.1,158,25.5,331,53.4,32,56.207405325651654605494270000,17,22.316740180634320520898970000,35,29.457064224816314163798110000,44,8.105101055873619369717870000,33,20.729684908789386401326700000,782,58.123891595225813548664270000,16,6.2001565539529873129296500000,16,10.832255749558247070213330000,152,68.313378635889691870707940000,21,21.162528216704288939051920000,22,25.974945983919147077228240000,0,0,108,55.413316640926839029446020000,12,29.359234702615418491424660000,24,18.621395983985599453772380000,0,0,42,21.533602674268370213900450000,26,42.354934349851757729775520000,34,43.611549364425802644912200000,11,17.042637580565195835399110000,0,0,90,56.407588700933232217507660000,28,24.101363448560804296928800000,11,12.391573729863692688971500000,40,26.716180654813587849481040000,33,23.170089520800421274354920000,,,,,,,,,,,,,,,,,51,2,3.57,1,,,,,,,,,386,9,16.07,0,,,,,312,5,8.93,0,250,1,1.79,0,220,6,10.71,1,134,6,10.71,1,,,,,141,2,3.57,0,60,7,12.5,0,,,,,53,10,17.86,0,28,8,14.29,0,4,0,0,0,38,2.32,115,7.02
COVID-19_14_day_epidemiology_report_06.09.2020_website V2.pdf,23/08/2020,05/09/2020,06/09/2020,1717,100,1.04,873,50.84,840,48.92,4,0.23,32,36,57,3.32,0,0,0,0,0,0,328,19.1,269,15.67,227,13.22,139,8.1,73,4.25,54,3.15,29,1.69,3,0.17,85,21.7,42,9.3,165,42.9,63,9.1,202,39.6,177,46.2,476,67.3,164,26.5,343,55.4,31,54.450923909225040399072580000,17,22.316740180634320520898970000,36,30.298694631239637425620910000,47,8.657721582410457054016810000,35,21.986029448716015880194980000,811,60.279381181238024025532890000,25,9.687744615551542676452580000,16,10.832255749558247070213330000,148,66.515658145471542084636680000,24,24.185746533376330216059340000,25,29.516984072635394405941180000,5,15.603545125452502808638120000,120,61.570351823252043366051130000,12,29.359234702615418491424660000,24,18.621395983985599453772380000,5,3.8312121188901744733998900000,43,22.046307499846188552326650000,26,42.354934349851757729775520000,37,47.459627249522196995933860000,12,18.591968269707486365889940000,0,0,92,57.661090672065081822341170000,30,25.82288940917229031813800000,12,13.518080432578573842514360000,45,30.055703236665286330666170000,37,25.978585220291381428822190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2.15,118,6.87
COVID-19_14_day_epidemiology_report_07092020 - website v3.pdf,24/08/2020,06/09/2020,07/09/2020,1672,100,1.01,837,50.06,831,49.7,4,0.24,33,36,59,3.53,0,0,0,0,0,0,318,19.02,271,16.21,224,13.4,132,7.89,67,4.01,53,3.17,29,1.73,3,0.18,92,23.5,48,10.6,157,40.8,64,9.3,203,39.8,162,42.3,447,63.2,157,25.4,342,55.0,30,52.694442492798426192650880000,18,23.629489603024574669187150000,33,27.773803411969667640152500000,46,8.473514740231511159250500000,31,19.473340368862756922458410000,791,58.792836639160637489761420000,30,11.625293538661851211743100000,18,12.186287718253027953989990000,131,58.875346061194405493833820000,24,24.185746533376330216059340000,21,24.794266621013731300990590000,16,49.931344401448008987641990000,116,59.518006762476975253849430000,16,39.145646270153891321899540000,25,19.397287483318332764346230000,6,4.5974545426682093680798700000,42,21.533602674268370213900450000,25,40.725898413318997817091850000,29,37.198086222598478726542760000,12,18.591968269707486365889940000,0,0,92,57.661090672065081822341170000,30,25.82288940917229031813800000,14,15.771093838008336149600090000,45,30.055703236665286330666170000,29,20.361593821309461119887660000,,,,,,,,,,,,,,,,,59,2,3.6,1,,,,,,,,,374,9,16.4,0,,,,,318,4,7.3,0,271,1,1.8,0,224,6,10.9,0,132,5,9.1,0,,,,,142,1,1.8,0,67,8,14.5,0,,,,,53,11,20.0,0,29,8,14.5,0,3,0,0,0,32,1.91,111,6.64
COVID-19_14_day_epidemiology_report_08092020_Website.pdf,25/08/2020,07/09/2020,08/09/2020,1888,100,1.01,944,50,939,49.74,5,0.26,32,35,72,3.81,0,0,0,0,0,0,366,19.39,310,16.42,242,12.82,157,8.32,73,3.87,55,2.91,33,1.75,3,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,1,1.69,1,,,,,,,,,414,10,16.95,0,,,,,366,4,6.78,1,310,1,1.69,0,242,7,11.86,0,157,4,6.78,0,,,,,163,1,1.69,0,73,11,18.64,0,,,,,55,11,18.64,0,33,9,15.25,0,3,0,0,0,37,1.96,122,6.46
COVID-19_14_day_epidemiology_report_09092020_Website.pdf,26/08/2020,08/09/2020,09/09/2020,1810,100,0.98,895,49.45,911,50.33,4,0.22,32,35,77,4.25,0,0,0,0,0,0,345,19.06,302,16.69,222,12.27,148,8.18,74,4.09,54,2.98,35,1.93,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,1,1.75,1,,,,,,,,,388,8,14.04,0,,,,,345,4,7.02,1,302,0,0,0,222,6,10.53,0,148,4,7.02,1,,,,,163,1,1.75,0,74,11,19.3,0,,,,,54,12,21.05,0,35,10,17.54,0,2,0,0,0,37,2.04,120,6.63
COVID-19_14_day_epidemiology_report_10092020_Website.pdf,27/08/2020,09/09/2020,10/09/2020,1913,100,0.98,946,49.45,961,50.24,6,0.31,33,36,76,3.97,0,0,0,0,0,0,369,19.29,308,16.1,241,12.6,155,8.1,85,4.44,59,3.08,41,2.14,2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,2,3.57,1,,,,,,,,,394,6,10.71,0,,,,,369,4,7.14,1,308,0,0,0,241,5,8.93,0,155,6,10.71,1,,,,,183,1,1.79,0,85,11,19.64,0,,,,,59,11,19.64,0,41,10,17.86,0,2,0,0,0,35,1.83,109,5.70
COVID-19_14_day_epidemiology_report_20200911_Website.pdf,28/08/2020,10/09/2020,11/09/2020,1997,100,0.96,977,48.92,1013,50.73,7,0.35,33,36,85,4.26,0,0,0,0,0,0,387,19.38,318,15.92,249,12.47,169,8.46,95,4.76,58,2.9,42,2.1,1,0.05,,,,,,,,,,,,,,,,,,,11,19.321295580692756270638660000,11,14.440243646292795631169920000,35,29.457064224816314163798110000,42,7.7366873715157275801852400000,37,23.242373988642645359063270000,1055,78.415224594582139761944760000,44,17.050430523370715110556540000,18,12.186287718253027953989990000,139,62.470787042030705065976340000,31,31.239922605611093195743310000,26,30.697663435540810182178830000,18,56.172762451629010111097240000,135,69.266645801158548786807530000,20,48.932057837692364152374430000,54,41.898140963967598770987870000,11,8.428666661558383841479770000,43,22.046307499846188552326650000,16,26.064574984524158602938780000,38,48.742319877887661779607750000,8,12.394645513138324243926620000,0,0,49,30.710798292730315318420840000,38,32.708993251618234402974800000,25,28.162667567872028838571590000,41,27.384085171183927545718060000,49,34.404072318764261892223980000,,,,,,,,,,,,,,,,,85,2,3.51,1,,,,,,,,,409,6,10.53,0,,,,,387,5,8.77,1,318,0,0,0,249,7,12.28,0,169,6,10.53,1,,,,,184,1,1.75,0,95,11,19.3,0,,,,,58,9,15.79,0,42,10,17.54,0,1,0,0,0,39,1.95,117,5.86
COVID-19_14_day_epidemiology_report_20200912_Website.pdf,29/08/2020,11/09/2020,12/09/2020,2016,100,0.94,974,48.31,1035,51.34,7,0.35,33,36,89,4.41,0,0,0,0,0,0,386,19.15,315,15.63,254,12.6,179,8.88,96,4.76,55,2.73,42,2.08,1,0.05,,,,,,,,,,,,,,,,,,,11,19.321295580692756270638660000,12,15.752993068683049779458100000,33,27.773803411969667640152500000,44,8.105101055873619369717870000,29,18.216995828936127443590130000,1068,79.38147854693244101019621000,47,18.212959877236900231730850000,20,13.540319686947808837766660000,127,57.077625570776255707762560000,30,30.232183166720412770074170000,30,35.420380887162473287129410000,21,65.534889526900511796280110000,125,64.135783149220878506303260000,24,58.718469405230836982849310000,64,49.657055957294931876726360000,12,9.194909085336418736159750000,47,24.097126802157461906031460000,16,26.064574984524158602938780000,42,53.873090391349520914303310000,12,18.591968269707486365889940000,0,0,42,26.323541393768841701503580000,42,36.152045172841206445393200000,27,30.415680973301791145657320000,38,25.380371622072908457006990000,50,35.106196243637001930840790000,,,,,,,,,,,,,,,,,89,3,5.17,1,,,,,,,,,413,5,8.62,0,,,,,386,3,5.17,0,315,0,0.0,0,254,7,12.07,0,179,7,12.07,1,,,,,186,1,1.72,0,96,12,20.69,0,,,,,55,9,15.52,0,42,11,18.97,0,1,0,0,0,41,2.03,117,5.80
COVID-19_14_day_epidemiology_report_20200913_Website.pdf,30/08/2020,12/09/2020,13/09/2020,2230,100,0.95,1084,48.61,1136,50.94,10,0.45,33,36,96,4.3,0,0,0,0,0,0,426,19.1,345,15.47,271,12.15,201,9.01,120,5.38,57,2.56,46,2.06,1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,4,6.45,1,,,,,,,,,457,6,9.68,0,,,,,426,4,6.45,0,345,0,0,0,271,8,12.9,0,201,7,11.29,1,,,,,210,1,1.61,0,120,14,22.58,0,,,,,57,7,11.29,0,46,11,17.74,0,1,0,0,0,40,1.79,118,5.29
