WeekStart,Tested20To40AntrimandNewtownabbey,Positive20To40AntrimandNewtownabbey,Tested20To40ArdsandNorthDown,Positive20To40ArdsandNorthDown,Tested20To40ArmaghCityBanbridgeandCraigavon,Positive20To40ArmaghCityBanbridgeandCraigavon,Tested20To40Belfast,Positive20To40Belfast,Tested20To40DerryCityandStrabane,Positive20To40DerryCityandStrabane,Tested20To40FermanaghandOmagh,Positive20To40FermanaghandOmagh,Tested20To40LisburnandCastlereagh,Positive20To40LisburnandCastlereagh,Tested20To40MidandEastAntrim,Positive20To40MidandEastAntrim,Tested20To40MidUlster,Positive20To40MidUlster,Tested20To40NewryMourneandDown,Positive20To40NewryMourneandDown,Tested40To60AntrimandNewtownabbey,Positive40To60AntrimandNewtownabbey,Tested40To60ArdsandNorthDown,Positive40To60ArdsandNorthDown,Tested40To60ArmaghCityBanbridgeandCraigavon,Positive40To60ArmaghCityBanbridgeandCraigavon,Tested40To60Belfast,Positive40To60Belfast,Tested40To60DerryCityandStrabane,Positive40To60DerryCityandStrabane,Tested40To60FermanaghandOmagh,Positive40To60FermanaghandOmagh,Tested40To60LisburnandCastlereagh,Positive40To60LisburnandCastlereagh,Tested40To60MidandEastAntrim,Positive40To60MidandEastAntrim,Tested40To60MidUlster,Positive40To60MidUlster,Tested40To60NewryMourneandDown,Positive40To60NewryMourneandDown,Tested60To80AntrimandNewtownabbey,Positive60To80AntrimandNewtownabbey,Tested60To80ArdsandNorthDown,Positive60To80ArdsandNorthDown,Tested60To80ArmaghCityBanbridgeandCraigavon,Positive60To80ArmaghCityBanbridgeandCraigavon,Tested60To80Belfast,Positive60To80Belfast,Tested60To80DerryCityandStrabane,Positive60To80DerryCityandStrabane,Tested60To80FermanaghandOmagh,Positive60To80FermanaghandOmagh,Tested60To80LisburnandCastlereagh,Positive60To80LisburnandCastlereagh,Tested60To80MidandEastAntrim,Positive60To80MidandEastAntrim,Tested60To80MidUlster,Positive60To80MidUlster,Tested60To80NewryMourneandDown,Positive60To80NewryMourneandDown,Tested80PlusAntrimandNewtownabbey,Positive80PlusAntrimandNewtownabbey,Tested80PlusArdsandNorthDown,Positive80PlusArdsandNorthDown,Tested80PlusArmaghCityBanbridgeandCraigavon,Positive80PlusArmaghCityBanbridgeandCraigavon,Tested80PlusBelfast,Positive80PlusBelfast,Tested80PlusDerryCityandStrabane,Positive80PlusDerryCityandStrabane,Tested80PlusFermanaghandOmagh,Positive80PlusFermanaghandOmagh,Tested80PlusLisburnandCastlereagh,Positive80PlusLisburnandCastlereagh,Tested80PlusMidandEastAntrim,Positive80PlusMidandEastAntrim,Tested80PlusMidUlster,Positive80PlusMidUlster,Tested80PlusNewryMourneandDown,Positive80PlusNewryMourneandDown,TestedUnder20AntrimandNewtownabbey,PositiveUnder20AntrimandNewtownabbey,TestedUnder20ArdsandNorthDown,PositiveUnder20ArdsandNorthDown,TestedUnder20ArmaghCityBanbridgeandCraigavon,PositiveUnder20ArmaghCityBanbridgeandCraigavon,TestedUnder20Belfast,PositiveUnder20Belfast,TestedUnder20DerryCityandStrabane,PositiveUnder20DerryCityandStrabane,TestedUnder20FermanaghandOmagh,PositiveUnder20FermanaghandOmagh,TestedUnder20LisburnandCastlereagh,PositiveUnder20LisburnandCastlereagh,TestedUnder20MidandEastAntrim,PositiveUnder20MidandEastAntrim,TestedUnder20MidUlster,PositiveUnder20MidUlster,TestedUnder20NewryMourneandDown,PositiveUnder20NewryMourneandDown,Tested20To40,Positive20To40,Tested40To60,Positive40To60,Tested60To80,Positive60To80,Tested80Plus,Positive80Plus,TestedUnder20,PositiveUnder20,TestedAntrimandNewtownabbey,PositiveAntrimandNewtownabbey,TestedArdsandNorthDown,PositiveArdsandNorthDown,TestedArmaghCityBanbridgeandCraigavon,PositiveArmaghCityBanbridgeandCraigavon,TestedBelfast,PositiveBelfast,TestedDerryCityandStrabane,PositiveDerryCityandStrabane,TestedFermanaghandOmagh,PositiveFermanaghandOmagh,TestedLisburnandCastlereagh,PositiveLisburnandCastlereagh,TestedMidandEastAntrim,PositiveMidandEastAntrim,TestedMidUlster,PositiveMidUlster,TestedNewryMourneandDown,PositiveNewryMourneandDown
24/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15,1,0,0,0,0,0,0,,,,,,,15,1,,,,,,,,,,,,
02/03/2020,7,1,,,16,4,21,2,,,,,,,,,,,,,,,6,1,13,3,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,44,7,33,6,0,0,0,0,10,1,7,1,6,1,39,8,35,4,,,,,,,,,,,,
09/03/2020,23,2,,,,,84,4,6,1,,,29,1,9,2,17,2,19,4,,,,,41,1,50,8,,,,,21,4,14,1,,,24,3,,,,,,,52,1,,,19,2,16,2,19,1,14,1,,,13,1,,,,,30,3,7,1,9,2,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,187,16,150,17,120,7,72,8,0,0,36,3,,,41,1,216,16,13,2,28,4,79,8,42,4,31,3,43,7
16/03/2020,,,56,1,23,1,115,8,14,1,11,3,55,6,,,9,1,29,1,32,3,50,4,28,2,114,8,18,2,13,1,48,3,17,3,,,26,1,30,3,41,7,38,1,72,10,16,2,,,28,3,22,4,,,44,1,22,4,,,31,2,66,7,,,15,1,30,4,23,4,,,,,19,1,,,,,,,,,,,,,,,,,,,312,22,346,27,291,31,187,22,19,1,103,11,147,12,120,6,367,33,48,5,39,5,161,16,62,11,9,1,99,3
23/03/2020,64,8,116,14,85,8,258,27,34,9,37,10,97,11,23,3,37,3,79,13,56,8,142,17,87,14,268,48,34,1,41,7,126,22,32,6,23,3,93,10,28,4,69,15,58,12,125,34,34,5,24,6,31,7,36,6,30,3,49,9,16,5,25,2,34,6,17,4,15,5,3,1,25,7,22,5,19,5,22,3,,,37,1,41,2,105,4,,,,,,,,,,,34,2,830,106,902,136,484,101,198,43,217,9,164,25,389,49,305,42,773,117,117,20,105,24,279,47,113,20,109,14,277,37
30/03/2020,50,12,91,10,94,17,233,50,70,8,,,120,25,42,12,36,3,78,6,74,14,115,18,90,17,290,86,81,14,31,5,130,28,58,14,40,5,74,15,45,14,76,14,57,14,181,57,49,10,25,8,52,9,29,6,36,9,44,9,13,2,38,4,55,9,107,32,30,12,17,2,38,12,23,5,17,3,18,4,,,28,2,,,66,4,33,1,,,,,17,1,21,1,19,1,814,143,983,216,594,150,356,85,184,10,182,42,348,48,296,57,877,229,263,45,73,15,340,74,169,38,150,21,233,35
06/04/2020,80,16,70,8,118,12,211,31,100,13,,,85,16,80,15,69,19,57,12,107,21,90,7,146,30,279,75,95,23,45,6,103,13,104,27,76,13,72,8,39,2,73,11,83,15,183,46,35,4,13,2,60,8,41,2,8,2,41,7,26,2,51,15,70,17,137,52,24,3,14,4,52,15,22,3,15,7,37,5,24,1,,,45,1,74,6,17,1,14,1,18,2,23,1,28,1,,,870,142,1117,223,576,99,448,123,243,14,276,42,284,41,462,75,884,210,271,44,86,13,318,54,270,48,196,42,207,32
13/04/2020,70,9,83,13,131,29,281,54,54,8,31,2,99,11,83,10,70,7,67,9,84,17,89,9,162,39,265,64,51,5,,,109,14,16,2,83,11,86,11,64,13,94,5,73,12,199,39,46,4,,,61,16,71,12,46,10,64,5,72,45,74,3,62,22,196,82,30,5,12,1,80,35,55,20,34,8,69,12,0,0,20,2,36,6,65,4,,,,,27,1,20,1,,,27,1,969,152,945,172,718,116,684,233,195,15,290,84,360,32,464,108,1006,243,181,22,43,3,376,77,245,45,233,36,313,38
20/04/2020,77,17,70,3,178,16,263,37,66,2,37,4,66,5,47,2,90,8,103,7,88,10,82,6,15,1,290,31,109,9,,,106,12,69,10,84,13,121,11,68,12,89,6,115,15,264,42,84,7,,,75,6,53,8,50,8,77,6,28,11,84,10,97,35,297,88,44,2,25,2,99,32,60,20,45,7,98,22,26,1,26,2,41,4,68,6,,,,,,,,,,,35,4,997,101,964,103,875,110,877,229,196,17,287,51,351,27,446,71,1182,204,303,20,62,6,346,55,229,40,269,36,434,50
27/04/2020,223,22,164,13,286,26,450,37,176,2,62,9,138,10,146,11,165,20,202,14,253,15,175,15,314,24,496,33,270,10,85,5,173,20,175,24,197,23,191,8,144,13,166,8,197,12,378,28,173,2,81,1,110,4,150,16,128,8,113,10,171,22,166,18,218,27,351,44,85,1,,,111,8,153,14,,,96,10,39,2,,,55,2,90,3,55,1,23,2,36,3,29,5,42,1,45,1,2012,164,2329,177,1640,102,1351,144,414,20,830,74,671,54,1070,91,1765,145,759,16,251,17,568,45,653,70,532,52,647,43
04/05/2020,297,9,246,15,535,43,626,31,308,4,165,12,248,9,216,12,426,31,296,8,306,21,273,6,520,49,546,19,279,8,151,6,242,7,221,10,362,35,256,9,186,8,156,6,206,10,358,11,210,2,96,4,125,3,154,7,191,16,182,5,149,15,109,10,200,18,299,31,,,,,103,10,159,11,134,3,110,4,84,3,48,2,128,9,111,5,,,49,2,,,,,95,11,54,1,3363,174,3156,170,1864,72,1263,102,569,33,1022,56,832,39,1589,129,1940,97,797,14,461,24,718,29,750,40,1208,96,898,27
11/05/2020,251,12,205,13,799,33,613,22,242,3,235,19,240,8,164,7,383,25,252,8,270,14,270,16,627,54,624,16,251,5,212,10,264,14,203,11,351,19,241,15,161,4,191,7,262,8,362,7,185,2,154,2,156,7,107,6,166,15,165,4,112,7,176,10,202,14,372,17,77,2,,,197,7,117,14,132,6,126,5,79,3,56,1,143,3,140,3,90,2,72,3,,,46,3,129,5,65,2,3384,150,3313,174,1909,62,1511,82,820,25,873,40,898,47,2033,112,2111,65,845,14,673,34,857,36,637,41,1161,70,849,34
18/05/2020,294,5,240,9,554,25,706,22,211,3,227,12,303,14,226,4,368,19,346,15,268,8,275,6,580,26,621,16,228,8,233,14,286,13,228,10,314,15,312,13,159,4,185,8,322,11,447,4,181,2,116,5,133,6,166,2,175,13,199,6,136,6,163,6,265,5,306,12,,,,,,,168,6,82,2,122,3,75,1,,,125,8,172,1,,,86,4,53,1,49,1,93,7,101,4,3475,128,3345,129,2083,61,1242,40,754,27,932,24,863,29,1846,75,2252,55,620,13,662,35,775,34,837,23,1032,56,1080,41
25/05/2020,204,1,205,3,356,3,624,12,187,1,,,257,11,209,4,247,9,264,10,193,5,214,7,352,13,605,7,150,1,153,2,267,10,165,5,204,7,278,6,136,1,219,7,246,4,435,6,164,1,138,2,214,8,132,3,165,3,173,1,77,4,167,7,,,352,10,,,92,1,274,3,119,5,,,135,1,,,59,2,99,5,115,1,,,67,1,71,1,,,68,3,71,3,2553,54,2581,63,2022,36,1216,31,550,16,610,11,864,26,1053,25,2131,36,501,3,450,6,1083,33,625,17,684,22,921,21
01/06/2020,321,4,361,4,451,3,767,4,271,1,199,2,358,3,227,2,354,6,365,1,303,1,375,5,381,10,629,5,274,1,196,1,363,5,274,2,269,1,414,3,267,2,335,13,321,2,497,4,,,,,254,1,199,2,153,1,,,283,2,354,7,,,408,4,,,125,1,254,2,197,2,139,1,,,90,1,62,1,121,2,,,,,,,,,,,108,1,,,3674,30,3478,34,2026,25,1760,19,381,5,1264,10,1487,30,1274,17,2301,17,545,2,520,4,1229,11,897,8,1023,10,779,4
08/06/2020,,,297,4,350,1,617,4,,,,,248,5,174,2,211,2,334,2,270,1,301,6,298,1,663,4,226,1,,,282,5,180,8,196,3,356,1,,,293,4,,,509,5,,,249,1,,,193,2,189,1,,,200,2,258,7,201,2,411,3,,,,,199,6,162,4,,,,,,,77,3,78,1,121,1,,,,,,,47,2,,,,,2231,20,2772,30,1433,13,1431,24,323,7,470,3,1226,24,927,5,2321,17,226,1,249,1,729,16,756,18,596,6,690,3
15/06/2020,,,376,4,369,1,555,5,,,,,3,0,351,3,,,323,5,,,372,7,,,553,2,,,,,224,2,376,6,243,3,359,1,212,1,304,2,,,439,4,,,251,1,,,241,1,,,295,1,189,3,337,2,200,1,249,2,,,195,1,,,227,2,0,0,196,1,79,1,0,0,,,152,1,,,,,,,,,,,,,1977,18,2127,21,1742,10,1593,12,231,2,480,5,1389,15,569,2,1948,14,,,446,2,227,2,1195,12,243,3,1173,8
22/06/2020,288,1,305,2,326,1,489,2,,,237,1,168,1,272,1,,,375,1,3,0,320,1,,,,,,,,,201,2,249,4,1,0,,,,,,,,,419,1,,,,,,,181,2,,,243,1,140,1,,,,,201,4,,,,,90,3,220,1,96,1,148,2,,,,,,,,,,,,,,,,,,,,,2460,10,774,7,843,4,895,12,0,0,431,2,625,3,326,1,1109,7,,,237,1,459,6,922,8,97,1,766,4
29/06/2020,,,,,,,,,,,,,182,2,147,1,,,276,6,140,1,180,1,,,,,,,,,174,1,132,1,182,1,238,4,,,,,,,393,1,,,,,,,165,2,,,,,,,143,1,,,224,2,,,73,1,121,3,,,,,,,,,,,,,,,,,,,48,2,,,,,74,1,605,9,1046,9,558,3,561,7,122,3,140,1,323,2,,,617,3,,,73,1,525,8,444,4,182,1,588,11
06/07/2020,162,1,,,296,1,538,3,,,,,,,151,4,189,1,248,4,149,1,191,1,,,408,1,,,,,146,2,119,3,,,260,2,,,198,1,,,356,3,,,,,161,2,,,,,,,94,1,153,1,126,1,213,2,,,,,93,3,84,1,,,,,,,,,,,117,1,,,,,60,1,,,,,,,1584,14,1273,10,715,6,763,9,177,2,405,3,542,3,422,2,1632,10,,,,,460,8,354,8,189,1,508,6
13/07/2020,167,1,150,1,274,3,519,6,325,6,134,1,,,169,6,184,1,289,1,167,1,171,1,265,1,379,1,,,,,168,1,130,2,,,206,3,,,,,,,439,2,204,7,,,,,,,,,217,3,,,,,,,226,1,,,,,,,99,1,,,,,,,,,,,141,2,127,1,,,,,,,,,,,2211,26,1486,10,860,12,325,2,268,3,334,2,321,2,539,4,1704,12,656,14,134,1,168,1,398,9,184,1,712,7
20/07/2020,,,,,392,1,668,2,343,3,,,,,216,5,371,1,513,9,,,189,1,324,2,463,1,280,3,,,,,144,1,,,292,3,,,,,,,,,,,,,186,3,170,4,152,1,224,3,,,112,1,,,,,86,1,,,118,3,,,82,1,,,,,72,1,134,1,,,,,,,,,81,1,,,,,2503,21,1692,11,732,11,398,6,287,3,,,373,3,850,4,1131,3,709,7,,,304,6,611,11,605,3,1029,15
27/07/2020,,,,,398,2,677,9,278,2,158,1,,,214,12,255,2,507,14,,,,,316,3,444,1,,,,,,,192,2,180,2,325,9,218,1,,,,,421,1,,,,,,,181,5,185,1,263,3,118,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,12,2487,42,1457,17,1268,11,118,2,173,12,336,3,,,714,5,1542,11,278,2,158,1,,,587,19,620,5,1268,38
03/08/2020,495,5,372,1,664,2,1355,9,319,5,202,1,581,8,444,12,381,2,1112,10,375,4,,,,,905,13,,,,,400,5,363,12,267,1,746,9,261,6,316,1,,,601,7,,,,,,,297,5,215,1,531,1,136,1,198,1,234,1,314,1,,,,,,,229,3,,,,,174,4,,,243,3,462,7,,,,,238,4,140,1,127,2,415,9,5925,55,3056,44,2221,21,1111,7,1799,30,1441,20,886,3,1141,6,3637,37,319,5,202,1,1219,17,1473,33,990,6,2804,29
10/08/2020,823,14,,,852,6,2488,38,575,4,,,764,4,858,31,460,4,1055,11,579,12,631,1,714,1,1411,20,472,1,,,594,7,608,18,365,1,849,5,365,8,407,1,452,1,835,6,,,289,1,,,324,6,,,472,4,256,3,370,2,363,2,689,2,,,,,,,185,3,236,1,285,3,294,8,201,1,256,1,731,13,207,2,154,1,287,8,343,17,,,478,12,7875,112,6223,66,3144,27,2384,16,2951,63,2317,45,1609,5,2637,11,6154,79,1254,7,443,2,1645,19,2318,75,1061,6,3139,35
17/08/2020,1091,21,856,5,1018,10,3028,42,750,19,440,1,914,11,1095,42,864,5,975,7,787,17,763,1,767,2,1878,29,612,10,,,670,10,852,35,549,2,,,457,4,,,496,2,990,11,,,,,400,2,398,7,,,461,2,,,490,2,,,620,1,,,,,395,6,322,2,,,,,404,9,332,12,,,997,18,267,4,197,1,412,8,493,15,469,3,386,6,11031,163,6878,106,3202,28,1827,11,3957,76,2739,51,2441,20,2281,14,7513,101,1629,33,637,2,2791,37,3160,101,1882,10,1822,15
